Temperature (C),Humidity (%),Light Intensity (lux),Weather Label
-9.184456688487373,33.37174429274872,35383.40824484202,1
45.06693823747738,52.4293043093987,28623.038540193113,0
21.56338981165701,91.61126063806147,12307.903044255067,0
10.11188576675717,34.520671011184646,61988.81079622769,1
-35.499203892157745,97.13871427198008,59181.337596950354,0
-35.63400818629253,12.92126372079222,89265.56975367587,1
-43.325270648636966,81.09310625732601,0.0,0
33.410155627433724,80.73786976964217,60756.77223928263,0
7.223643329336424,21.31875771184058,73175.31684193153,1
20.84583954035244,44.118609625242506,71838.64431825616,1
-47.98616764824462,19.149122479720695,86667.92758488141,1
47.678094370279304,67.23748480371512,74750.3485880491,0
36.99471485700895,54.17527122796061,96190.91201138285,0
-28.55706086002074,59.44802716975731,38724.47743667237,1
-30.621158978620347,8.913036195790955,52941.9545403902,1
-33.61061488588588,26.16610904813387,0.0,0
-18.039900377013154,0.0,0.0,0
1.4228614330024307,32.74268584348505,23222.191860856034,1
-6.6626564706262394,57.63947678061269,10817.11899274592,1
-21.09478323033413,87.42630647904816,30328.22859295665,0
13.251237942066009,65.27734937787682,17920.250333923603,1
-38.670567043545816,44.89568971637501,3105.5387531831957,1
-25.352012415708266,97.6668467883396,92119.40145630024,0
-13.790681064806677,75.5993441363431,0.0,0
-3.455939064486158,100.0,74042.6401330976,0
28.82213489091636,53.9297680847076,20843.949587010407,1
-27.5682133093362,26.21067170440247,90803.40770603999,1
2.2981891897204996,0.7490238097217281,89128.53032506717,1
8.113760222484528,74.78821676788172,65222.18761308979,1
-50.00579903627959,15.467215316256256,73712.28404901635,1
10.279860721753403,29.31599690578858,0.0,0
-30.891669626755252,55.97015330930993,100000.0,1
-44.27893626680628,54.979077810228056,81901.35108500387,1
44.94519425268885,63.413282959158224,86239.5212663704,0
47.405923816069354,21.188544605118782,69648.14505366379,0
28.80915006314648,42.46687981581731,39630.276342822006,1
-18.292151289385295,62.30864434240318,82347.36982405564,1
-36.9585450193582,91.78204570529321,23688.1834988838,0
18.07767594742888,69.70354850675976,57660.36838157952,1
-8.242879469704473,95.23616232881943,21695.194173207223,0
-37.92937856956607,88.46526736011884,98426.87691826842,0
-4.931077206090717,57.468093031579635,12836.560528962282,1
-45.88734136052493,21.481525305575154,10394.034882661945,1
41.83658896317536,63.8883024018543,56221.629484927296,0
-20.770729252307184,57.4681213747452,78220.78403953093,1
15.864238850264945,56.86533772783984,60021.654888215875,1
-18.011921714765965,38.56622691531072,18959.77132728264,1
0.28422591300927547,59.632835713466314,890.1305543559747,0
3.9581736932778093,22.29360144723734,71003.75206127412,1
-34.56492532077169,50.612128112227154,100000.0,1
46.56888353388939,13.864951091097552,88575.03601827813,0
26.90266402907433,76.09553865922665,49310.22497362534,0
44.5482936885967,25.460308768564122,90825.27898550723,0
38.23554128209961,9.501963939103602,37683.9468787672,0
9.956688583058696,38.797621839807235,52389.47250489225,1
41.520663391096356,62.88315828812364,55909.46241560471,0
-41.813748571407075,39.9442763911437,49105.65755873564,1
-30.24098910615942,27.457684834736458,78537.53832177287,1
-45.39622522431217,56.68157681298254,57296.76239778718,1
-15.94461884557029,44.178107407362795,34399.76551942575,1
-11.373557099311471,83.70526518267478,27797.20446528219,0
